userName,score,at,content
Deva Junarta2,1,2025-12-10 02:29:55,tolong benerin mau riset pasword aj otp gak di kirim kirim
Lukman Hakim,5,2025-12-10 02:29:10,bagus
Agung Mulyana,1,2025-12-10 02:25:56,"aplikasi jelek, udah di bayar tapi status di aplikasi ngga ilang"
Ayu T Palupi,5,2025-12-10 02:18:51,sangat membantu
RITA RAHAYU,3,2025-12-10 02:13:28,"download apk lain bisa, download mobile jkn gabisa aneh bgt, padahal perlu bgt urgent"
Yan Pakenden,5,2025-12-10 02:05:52,sangat mudah di akses
Mak Rie,1,2025-12-10 02:01:56,"aplikasi gk berguna, login gk bisa apa gunanya aplikasi ini sdh lama skali mw mw tp tdk bisa krn tdk muncul captha, bila tdk berfungsi knp pula ada apalikasi ini, pdhl aq mw ngecek tunggakan iuran bpjs"
Aguspermana Permana,5,2025-12-10 02:01:07,"dg adanya aplikasi ini sangat membantu peserta BPJS, aplikasi cukup lengkap dan lancar penggunaanya"
Syahrul Amri,5,2025-12-10 01:57:35,mempermudah ingat harus pakai internet yang kencang
Ai Juariah,5,2025-12-10 01:55:07,sangat memuaskan kan
jekson Sihombing,5,2025-12-10 01:51:59,sangat membantu untuk pengguna mobile jkn
Raudatull Jannati,5,2025-12-10 01:49:59,semoga bisa memberikan pelayanan yg terbaik
Sugianto Oktafia,5,2025-12-10 01:47:39,goodd
Fidelis Liem,5,2025-12-10 01:38:21,memuaskan 👍👍
anzis k,5,2025-12-10 01:29:49,great
Wawan Sugandi,5,2025-12-10 01:28:02,baiksekali
Hari Yadi (Dhede elektronik),1,2025-12-10 01:26:02,klw IT ga becus kerja pecat saja jng susahin orang aplikasi error tiap hari
Korry Sitorus,5,2025-12-10 01:01:50,mudah dan cepat diproses
Abdul Zailani,5,2025-12-10 00:55:53,"aplikasi yg sudah terstruktur, semua sistem nya berfungsi dengan baik"
oding pamungkas,1,2025-12-10 00:55:35,Tidak bisa ambil antrian perlu mengganti nomer Hp tapi untuk verifikasi tidak bisa.
Yeni S Tanjung,5,2025-12-10 00:53:54,"BPJS sangat membantu dalam pembiayaan terutama masyarakat ekonomi menengah kebawah. Jika dapat di tingkat paskes (awal) jika melakukan berobat dengan keluhan sama yang di ulang beberapa kali (seperti saya dari tahun 2023 hingga saat ini keluhan flu berat: hidung tersumbat, bersin-bersin) sebaiknya direkomendasikan ke tingkat spesialis THT bukan ditahan. ini yang membuat kita kurang nyaman karena di tahan."
Akp Pa,5,2025-12-10 00:51:25,mantap jkn
Fitri Albarqah,1,2025-12-10 00:46:56,"Aplikasi gila,udah coba daptar berkali- kali eror terus. gimana sih ini?!"
Tri Mardiwibowo,5,2025-12-10 00:43:31,sangat membantu alhamdulilah
Andrian Yansa,5,2025-12-10 00:42:23,oke mantap
Galuh Geranit,5,2025-12-10 00:31:05,mantap
Vivo Y12,1,2025-12-10 00:30:55,"parah bos,tolong di perbaiki ini akun tidak bisa login jangan minta maaf terus"
Ruswan Purwanto,5,2025-12-10 00:21:51,good
Hotmauli Rajagukguk,5,2025-12-09 23:59:52,"Kenapa harus update terus ya,kemudian sering eror"
Isma Wati,5,2025-12-09 22:47:58,terimakasih bagus buat ngubah tanpa harus ke kantor nya langsung
fadryansyah Telkomsel,5,2025-12-09 22:44:20,sangat bgus dan cepat
Ibnu Hibban,5,2025-12-09 22:24:07,terus berbuat yang terbaik
sufi zuhud,5,2025-12-09 21:44:23,ada peningkatan
Las s,3,2025-12-09 21:42:55,ok la tapi sering susah kalo mau antri online
Iskandar Patue,1,2025-12-09 21:37:11,"aplikasinya tidak bisa discreenshoot, lalu mau ambil nomor antrian dipoli selalu penuh. Parah. kenapa tidak seperti dulu saja, antrian langsung dipoli tanpa dibatasi pelayananya."
woW,1,2025-12-09 20:23:06,iklan terooos
Pinkan Kd,1,2025-12-09 19:22:07,"ngga bisa login. Sudah kirim pengaduan tapi jawaban sama sekali ngga guna. Suruh reset password, tapi apk nya ngga bisa ngiri OTP sudah berkali kali dicoba .pulsa pun ada. ngga ada solusi pdhl sudah berbulan bulan"
ナノ,1,2025-12-09 18:08:59,"percuma pake antrian online, sampe klinik di tolak karna kuota BPJS habis!!! satu lagi kebingungan saya kenapa ada menu marketplace di dalam aplikasi ini yang mengarahkan ke marketplace nya ketika di klik???"
Indra Cahya Gumilar,5,2025-12-09 17:25:58,sangat bagus
Pramono,1,2025-12-09 15:56:58,setiap kali buka harus login dulu pake nomer KTP.. ada baiknya masuk sekali saja
bee bee key,5,2025-12-09 15:14:15,sangat gampang dh aplikasikan..t erimakasih
Rahman awan,5,2025-12-09 15:10:20,cepat dan mudah di gunakan
Haris SS,5,2025-12-09 15:09:07,muantaaaab
Supri Priatna,5,2025-12-09 15:04:57,"sangat mudah dan aman,,juga sesuai harapan"
Dohirin Dohir,5,2025-12-09 14:50:00,sangat membantu
Nopranto Nopran,5,2025-12-09 14:32:24,"Bintang berbicara karena ini program dari pemerintah daerah dan pusat, untuk indepidu, harapan semua tampa kendala."
Arcell Komunika,5,2025-12-09 14:32:11,membantu sekali
iswari ha,5,2025-12-09 14:21:38,top
Danar Dwi Januar,1,2025-12-09 14:19:35,"apalah apk buruk, biometrik ngga selesai²"
Fika99,1,2025-12-09 14:17:33,"log in ga bisa tot , perbaikin apk nya napa , atau sengaja biar tdk bisa akses masuk ke apk nya , gatelll"
ahmad rifai,1,2025-12-09 13:55:40,"makin kesini makin menyusahkan,, GK bisa login, bilangnya nik salah terus,"
Cucu Kurniasih,1,2025-12-09 13:50:25,"Aplikasi jelek. bikin yang bener! mau login aja repot. nyusahin, gabisa diklik masuk. dari pada nyuruh bikin laporan ke email atau datang langsung mending benerin ni aplikasi. udh banyak keluhan tapi ga dibener benerin. jadi pegawai digaji rakyat, kerja yang bener!"
Anita Lia,1,2025-12-09 13:43:21,"dari update yang terbaru sekarang ga bisa Screenshot padahal mau di fotocopy tapi ga bisa kenapa si ini mobile jkn? di benerin dong, mau foto copy nih"
Kin Aulia,2,2025-12-09 13:37:37,"padahal udah punya akun sudah memasukan NIK sama password dengan benar.. kenapa pas mau login salah terus, susah amat aplikasinya di pake login"
Cinta Inta,1,2025-12-09 13:13:07,"gagal muluk aplikasi apaan sich GK jelas menyusahkan aja,"
Yati Rohayati,5,2025-12-09 13:11:46,Terimakasih bpjs.
Librark 76,5,2025-12-09 12:37:11,Alhamdulillah
Zein Ramadhan Muhammad,5,2025-12-09 12:20:31,pelayanan cepat
Bmg Surya Saputra,5,2025-12-09 12:14:06,masih oke
Ryan Rama,1,2025-12-09 12:01:02,"gak ngerti buat mendaftar log in, kok harus ada kode referral segala? Bukannya memudahkan tapi memperSulit!"
Hamzah sinaga,4,2025-12-09 11:51:48,lumayan bagus
Apris Budiono,4,2025-12-09 11:51:20,bagus aplikasinya
Rahayu Lestari,5,2025-12-09 11:51:08,bagus
hayun hidayat,5,2025-12-09 11:33:22,jadi mudah
Yudi hemanto,5,2025-12-09 11:04:16,sangat bermanfaat
Angga RD,5,2025-12-09 11:02:46,pelayanan bagus
K Corp,5,2025-12-09 10:59:36,terbaik bos
Edo September,1,2025-12-09 10:44:29,customer service setiap ada masalah sistem di aplikasi malah suruh tanyakan ke rumah sakit apa fungsi nya customer servis tidak menyelesaikan masalah kalau begitu
Reza Peps,5,2025-12-09 10:37:40,aplikasi yang sangat bagus dan sangat membantu
Fanani Ilyas,1,2025-12-09 10:26:39,apknya eror untuk login gak bisa tolong di benerin dong
Tirta Shandy,1,2025-12-09 10:20:20,aplikasi tolool
Manarul HudaA,1,2025-12-09 10:18:32,suka error
New Milan,1,2025-12-09 10:18:16,sudah paling Update malah eror terussssss
Abitirta Pangestu,2,2025-12-09 10:18:07,"ga bisa login, captcha nya muter doang"
Cecep Kusmana,1,2025-12-09 10:16:08,"kita daftar berobat harus lewat online,tapi kenyataan dari aplikasi ini apa?suka keluar sendiri, waktu mau login lagi, tidak bisa bisa, selau loading padahan apk lain tidak loading, mau berobat saja susah, padahal kita aja bayar meskipun itu perbulan!!!,memang harus mempersulit kita sebagai rakyat kecil yang ingin berobat? apa fungsinya aplikasi yg selalu loading ga jelas !!"
Dodit Arfianto,1,2025-12-09 10:16:01,"tolong di perbaiki, kode captha muter doang gak muncul²... jadi gak bisa login paketan padahal aman jaringan kenceng, sampe hp di restar berkali2 sama aja masih gak bisa"
Alung Aryo,1,2025-12-09 10:15:17,Bikin ribed aja aplikasi pas lagi dibutuhin sering error padahal orang sakit harus buru2 ditangani.
nini Triyani,1,2025-12-09 10:14:09,"setiap bulan update aplikasi dan slalu login, tapi setiap log-in selalu susah yg caphca tidak tampil,yg aplikasi eror bukan membatu malah buat ribet"
dedy harianto,1,2025-12-09 10:13:55,"dikasih chapta, eh malah muter2. gimana loginnya klo kaya gini"
akbar al masjid,1,2025-12-09 10:13:53,terlog-out sendiri dan tdk bisa login. dulu bagus skrg kok turun performa. saya tidak yakin aplikasi ini mendapat rating 4.5 bintang saya baca hampir rata² memberi nilai 1 bintang
Flora Savitri,1,2025-12-09 10:13:40,"mau login aja susah banget, captcha nya muter2 mulu"
Annisa Dea,1,2025-12-09 10:13:21,"aplikasi bodoh, orang dimana mana bikin software untuk mempermudah pengguna, ini justru makin mempersulit pengguna, orang mau berobat udah setengah mati pun harus ngingat ngingat password dulu, lawak"
Haris Dudul,1,2025-12-09 10:12:31,sudah update malah gabisa log in
feds felt,1,2025-12-09 10:11:04,tidak bisa login capcha tidak keluar
IS IS IS,1,2025-12-09 10:10:34,apk ga bisa di pake ga update nyusahin banget sumpah orang mau berobat malah ga bisa login su
Monica Lusiana,2,2025-12-09 10:09:59,kenapa mau login captcha muter2 terus? tolong dong d perbaiki
Budi Prabowo,2,2025-12-09 10:08:16,tidak bisa log in stak terus di menu log in
Nina Kurniasih,2,2025-12-09 10:05:55,"semenjak di perbarui kenapa JD susah eror Mulu, mau berobat jkn nya eror terus ,"
Tika sugriantinj,1,2025-12-09 10:01:20,aplikasi yg MEMPERSULIT orang. susah sekali mau log in. berbenah coba. !
Mutiaufaira Ghani,1,2025-12-09 09:58:11,gabisa d gunakan selalu eror
Ari,1,2025-12-09 09:57:32,Sulit login
fred rudolof,2,2025-12-09 09:57:30,"orang mau berobat captcha nya muter2 doank, gk ad yg monitoring aplikasinya apa?"
Bapak Kastari,4,2025-12-09 09:55:24,sangat membantu
Agri Apriliando,2,2025-12-09 09:53:40,"sering logout sendiri, di samsung S23 ultra. Setiap ada update selalu logout. Ini captcha nya error jadi tidak bisa login. Tolong ya kak"
Burhan Farhan,2,2025-12-09 09:53:30,servernya lemot
Mayor Mayhem,1,2025-12-09 09:51:50,"Pasword sydwh benar dan captcha sudah bener masih saja gak bisa,,,apa sih maunya aplikasi ini"
Zhesan Syakil,1,2025-12-09 09:47:02,ini yang bikin aplikasi niat ga ?? errorr terusss sistem nya !!!! coba lagi coba lagi
Wildan Madani,1,2025-12-09 09:44:05,aplikasi aneh gangguan mulu duit nya di korup mulu sih engga bner kalah ama server roblox
Noer Aziz,3,2025-12-09 09:40:01,login susah banget
putri yohana,1,2025-12-09 09:39:54,"gabisa login, padahal kuota aman jaringan pun stabil"
Riri Fajriyah,1,2025-12-09 09:39:33,"suka tiba-tiba keluar sendiri pas mau masuk lagi gak bisa,, loading terus,, payah"
Suriyati,1,2025-12-09 09:38:28,Tidak bisa login walau sinyal dan identitas telah dimasukkan dengan benar.
rusdan hudan,1,2025-12-09 09:36:26,keluar mulu dan susah masuknya
Suyadi,3,2025-12-09 09:35:36,susah buat akun bnyk bug
yanuar Bhaktie,1,2025-12-09 09:35:08,kenapa ini jaringan ?? tidak bisa masuk
Arif Saepudin,1,2025-12-09 09:34:25,kenapa ya sekarang eror Mulu tolong lah perbaiki kekurang nya
Elisa Mustika ratu jaya,1,2025-12-09 09:33:50,error mulu 🙄
debi kuswanto,1,2025-12-09 09:31:52,Aplikasi nyusahin..... ERORRRRRRRRRR NGGA BISA MASUK
Juliadi Saputra,2,2025-12-09 09:31:31,"ini aplikasi bobrok banget dah gilaa mau login sama buat akun susah nya minta ampun, giliran makan uang rakyat aja cepet"
Ully Naiborhu,5,2025-12-09 09:30:38,ok
Ayam Jago,1,2025-12-09 09:29:33,ribet jncok kita mau berobat mlh d persulit tinggal dtng daftar mlh d sruh pke apk login ngk mau msuk msuk INTINYA RIBETTT
Amin Nur,2,2025-12-09 09:29:11,"Mau dipake pendaftaran, login ajh susah, minta tolong diperbaiki Trimakasih"
arju wildani,4,2025-12-09 09:20:23,ada beberapa kendala tapi overall bagus
Alvian Loe,5,2025-12-09 09:10:33,dapat membantu orang orang
Trian WS,1,2025-12-09 08:50:24,error. ga bisa ambil antrian
JUJU Juarsih,5,2025-12-09 08:45:56,cepat responnya dan mudah menggunakan nya
Agung Laksono,5,2025-12-09 08:34:09,Sangat Membantu terima kasij mobile jkn
Alva Dwiseptio,1,2025-12-09 08:32:50,bikin ribet doang 😄
MAS WIWID,2,2025-12-09 08:30:32,habis periksa poli umum dan akan daftar untuk poli gigi hari selanjutnya tidak dapat masuk karena riwayat pendaftaran masih dan tidak ada menu hapus riwayat daftar tak kasih bintang 2 dulu
ARRUAN PASAUK Pasauk,5,2025-12-09 08:22:08,mantap aplikasinya sangat membantu
Arbani Ismail,5,2025-12-09 08:21:21,mantap sangat membantu
Angga Maulana& ratu sita,5,2025-12-09 08:16:59,sangat membantu
Fathul Majid,4,2025-12-09 07:57:43,Alhamdulillah sekarang sudah bisa cuma ya masih bingung kok bisa nomor dibilang sudah dipakai padahal belum pernah buat sebelumnya
Kiki Sandra,3,2025-12-09 07:46:33,"ini aplikasi jkn knp. erory ketutup sendiri hrs masuk dftr ulang.. kita nih ngecek aplikasi utk byr.. aneh bngt.. bikin ribet dftr ulang mskin no nik dll.. jgn di bikin ribet lah.. kita byr tepat wkt utk. di pake aj kagak. inibpjs.. cuma untuk cek mau BAYAR.. di buat ribet dh berkali"" hrs login awal.. hbskan wkt aj.. nungak juga kagak pernah.. tepat waktu.. zonk bngt.. mau byr aj di susah"" apa lagi kalo gk bayar..."
Imam Syafii,5,2025-12-09 07:41:30,mudah menggunakannya
CRS yt,3,2025-12-09 07:33:22,"update mulu, giliran login tidak bisa masuk,mau ganti kata sandi kode OTP tidak dikirim kan."
Mali Basith,5,2025-12-09 07:33:10,sangat membantu
Sandi Sandi,4,2025-12-09 07:28:17,ok
Riio Lumalessil,5,2025-12-09 07:18:56,aplikasinya bagus sekali
Alan Ashari,1,2025-12-09 07:09:18,aplikasi tidak berguna dan menyusahkan
Jhon Robin,5,2025-12-09 07:08:59,ok bet
Rizka Rizka,3,2025-12-09 06:53:01,"susah amat mau verifikasi minta kode wa kita ke wa kembali ke jkn dah ilang, begitu terus, minta kode mail, kita tinggal buka mail kembali ke halaman jkn dah ilang lagi.."
Muhamad Noor Aji Salam,5,2025-12-09 06:47:07,sangat membantu
Pa WARTO Penjahit,5,2025-12-09 06:38:53,sangat membantu
Bihlul Hidana,5,2025-12-09 06:32:43,memudahkan kita untuk meningkatkan kesehatan
Anha Asriana,5,2025-12-09 06:10:20,mantap
Indah Aura Fitri,1,2025-12-09 05:55:31,kode di SMS gak masuk2 pulsa udah abis hadeh
Devi nadiliya,5,2025-12-09 05:48:13,sangat membantu
Tidak Ada Nama,1,2025-12-09 05:46:37,"verifikasi wajah gabisa, daftar ambil antrian jg gabisa"
darius goelo,5,2025-12-09 05:45:50,"satu dari ribuan layanan pemerintah yang tidak ribet, tidak berbelit-belit dan sangat membantu masyarakat benar benar berdedikasi untuk melayani masyarakat dan integritas tinggi defenisi sebenarnya dari integritas dan melayani dengan sepenuh hati adalah cerminan dari JKN mobile"
Nur pitria Damayanti,5,2025-12-09 05:42:42,respon cepat
RojabRizky RR,5,2025-12-09 05:39:15,"mempermudah urusan utk mengubah data peserta jg faskes pertama,mantap moga dpt dipermudah segala urusannya,terimakasih"
Oyon Oyon Oyon,1,2025-12-09 05:32:00,banyak eror nya ini aplikasi
Irvan Kurnia R,5,2025-12-09 05:21:46,sudah bagus mantap
sulistiawati _,5,2025-12-09 05:14:08,Sangat membantu dan mempermudah
Ade Mulyadi,5,2025-12-09 05:04:27,sangat mebantu
Arief Syaroni,1,2025-12-09 04:49:41,sudah 2 minggu ngebug terus..padahal saya butuh buat ambil antrian..tolong diperbaiki..
Nana,4,2025-12-09 04:49:37,tolong sediakan fitur ss
Yulia Lestari,1,2025-12-09 04:48:03,"susah login, katanya no antian rs biar cepat lewat aplikasi ini nyatanya login aja susah banget"
vira mutiarani,5,2025-12-09 04:47:51,mantap
Savannah Moonlight,3,2025-12-09 04:39:56,"Saya login apk tp logout sendiri dan ada keterangan udh login di perangkat lain. Saat itu saya langsung amanin akun dan ganti passowrd. Tp pas login kenapa ga jadi ya? NIK, password dan kode captcha udh bener tp salah mulu ga bisa masuk. Tolong dibantu buat menyelesaikan masalah ini."
Handiii Kaaa Ti Tv,5,2025-12-09 04:32:47,terima kasih
Iluza saputra Iluza,5,2025-12-09 04:24:14,luar biasa hebat
Muhammad Ilyas,1,2025-12-09 04:21:31,Udah berulang kali minta kode verifikasi otp kagak pernah muncul
Erika Hamdan,5,2025-12-09 04:17:14,apakah aplikasi ini bisa di akses 2 KK kalau bisa caranya gimna?
ade rahmany,5,2025-12-09 04:14:34,sangat membantu... ga usah ribet datang ke kantor BPJS dan lama ngantri... tinggal klik klik beres.... terus banyak fitur dan kelebihan nya LG .. ga percaya download donk...
Yoko Rahmadi,5,2025-12-09 04:01:19,memudahkan peserta..dlm urusan kesehatan.ke RSUD
Intan Sari,4,2025-12-09 03:56:15,"Saya mau nambah peserta untuk anak saya, tapi nggak bisa dengan alasan bayi baru lahir, padahal jelas-jelas data yang saya isi tahun lahir anak saya 2023, Ini terjadi berulang, dari 2023, 2024, dan bahkan sekarang 2025 saya coba lagi, ternyata masih nggak bisa.. tolong dong,"
Ayu Pitriyani,4,2025-12-09 03:47:22,kurang nya no antrian suka ngilang sndri jdi susah liat nya lagi
Hadian Hendi putra,5,2025-12-09 03:43:52,aplikasinya sangat memudahkan saya dan keluarga
Asbuloh,4,2025-12-09 03:28:54,membantu memudahkan pendaftaran
Asrof Ay,1,2025-12-09 03:25:21,"sering keluar sendiri dari aplikasi jkn,kemudian login lagi susah masuk"
Titisz Amirrul,5,2025-12-09 03:21:20,ok bgd
tua sidabutar,5,2025-12-09 03:17:33,mudah
Siti Hotijah,2,2025-12-09 03:01:41,ini aplikasi gimana ya.. suka log out sendiri.. mau daftar antrian buat kontrol susah padahal rujukan sudah baru. kan capek harus log in terus. setelah coba log in gak bisa.. ngisi data sudah benar2. malah suruh mengulang2 terus.
Siti maani,5,2025-12-09 02:57:30,proses perubahan data cepat terima kasih
winarto teguh setiawan,5,2025-12-09 02:40:07,Bagus banyak kemajuan dan sangat bermanfaat.
Rahmad Alfajar,1,2025-12-09 02:35:39,akun sering keluar sendiri
Hendrik tour,5,2025-12-09 02:30:30,mantap jaya
ahmad razqa,5,2025-12-09 02:26:59,"nice pertahankan jgn berhenti ditengah jalan, kebiasaan pemerintah ganti pimpinan ganti aplikasi, kalo sudah bagus lanjutkan dan lebih dilengkapi dan di tingkatkan kecepatan servernya agar makin baik aplikasinya"
Syifa Norsabrina,5,2025-12-09 02:23:35,semoga kedepan nya makin lancar
Benk Romle,1,2025-12-09 02:17:26,abis di update... log-in ulang lagi.. di login GK bisa ... pakai lupa sandi ..no verifikasi gak di kirim.. coba hari berikutnya sama aja .. Ampe sekarang masih gak bisa.. pakai cara apalagi supaya bisa log- in
Antonio Antonio,5,2025-12-09 02:11:37,"Alhamdulillah semakin mudah dan semakin terbantu berkat adanya mobile jkn periksa lebih gampang, banyak informasi nya juga terima kasih jkn 🙏👍👍👍👍👍👍🔥🔥🔥🔥"
Riko Adhilaksono,1,2025-12-09 01:56:18,"KENAPA TIBA-TIBA LOGOUT, APLIKASI RIBET, KEBANYAKAN CHAPTA!!!!!"
Mar Niani,5,2025-12-09 01:54:51,sangat membantu
Cup Cup,1,2025-12-09 01:52:25,"seperti aplikasi pemerintah pada umumnya, TIDAK cepat, TIDAK lancar, sering TIDAK berhasil input data tidak bisa daftar online sudah 1 Minggu lebih, dengan keterangan kuota penuh, sudah dipastikan di klinik yg saya tuju, masih kosong pendaftaran atau kuota tersedia, anak saya sedang tambal gigi, padahal tambalan sementara harus di lepas tapi ternyata gak bisa daftar online dan kejadian ini tidak hanya di M JKN saya, keluarga lain juga mengalami hal sama, ayolah"
ZONA GAMES,1,2025-12-09 01:47:00,"tidak bisa masuk, aplikasi parah"
Bakubaba Well,5,2025-12-09 01:44:25,ok mantap
Muhammad Abidin,5,2025-12-09 01:44:05,mantap
Paul Suprayitno,5,2025-12-09 01:38:12,sangat membantu
Sherina Yul,5,2025-12-09 01:29:38,sangat membantu saat menjalani perawatan
Dori Doridorine,1,2025-12-09 01:27:25,Kenapa ya susah banget ngirim kode otp doang. Trs ga ada kah pengaturan yang ngatur buat ganti nomer hp atau gmail. Tolonglah binding aplikasi ini sama gmail atau aplikasi lain tuh harus ada biar ga nyusahin jangan pas bikin akun doang 🤦‍♀️
FARID DIMYATI Sudarto,5,2025-12-09 01:24:51,pelayanannya bagus
Er nik,5,2025-12-09 01:23:56,mudah praktis aman untuk melakukan perubahan data secara online terimakasih
Alex Fila,5,2025-12-09 01:16:33,sangat memudahkan untuk ambil antrian
N R,1,2025-12-09 01:03:22,tambah ke sini tambah ribet tiap mau buka aplikasi harus login ulang bahkan sering gagal
Novi Astuti,5,2025-12-09 00:43:44,bagus
Irwan 31,1,2025-12-09 00:01:30,"aneh sekali aplikasi mobile JKN ini, mau log in eh akun gak terdaftar, terus daftar pemberitahuannya akun sdh terdaftar, coba log in lagi malah tidak terdaftar..! bukannya dipermudah malah dipersulit!"
rahmadani wadiah,5,2025-12-08 23:38:08,heran suka banget log out sendiri mau log in lagi lupa salah mulu password nya. ga bisa log in! capek!
Kartini Silitonga,5,2025-12-08 23:17:20,simple
Diah Milawati,4,2025-12-08 23:17:01,cukup unt.memudahkan urusan dlm kesehatan. meringankan dlm antrian pemeriksaan dll
Johanes A.S. Meokbun,3,2025-12-08 22:52:58,"Punya saya kenapa waktu mau ambil antrian tulisannya invalid-F1, terima kasih"
Yasin Yasin,5,2025-12-08 22:47:44,okeh
rachmat firdaus,1,2025-12-08 22:46:00,isi nik udah bener di bilang salah memasukan nik sudah 2 x...gimana ini teh mau log in
marlina giovani,1,2025-12-08 22:04:01,"Guamah gak paham sama mobile jkn ini.. Bener2 susah bgt mau daftar lagi dengan cara pilih lupa kata sandi, daftar pakai nomor hp malah gak masuk2 kode verifikasinya. Nyebelin ini bener2 mobile jkn"
Budi Ambon,1,2025-12-08 21:45:39,aplikasi sering eror dan sulit masuk
Robiyati 1962,5,2025-12-08 21:18:47,Mobil jkn lebih enak dan mudah.
d_ Rain,1,2025-12-08 20:59:18,"tolong sistem lupa password nya di perbaiki, nomor verifikasi menuju sms dan email tidak muncul sama sekali padahal jaringan lancar, dan waktu pengiriman ulang nya 300 detik terlalu lama"
Rishanda Danny Vilda,5,2025-12-08 20:04:20,ok
kabul sukri,5,2025-12-08 19:46:13,pengalaman adalah guru terbaik
Yudih Kurnia,4,2025-12-08 19:04:37,susahnya ganti nomor hp sampai kontrol RS saja terlewat gara ² gak bisa masuk lupa password...
Dewa Nyoman Sukarma,5,2025-12-08 18:57:28,Aplikasi yang sangat membantu dan mudah digunakan
kang kopi imut,1,2025-12-08 16:46:48,parah kartu ada bulanan nggak pernah nunggak kok tiba 2 saya tidak terdaftar kacau2
Bimo Prakoso,1,2025-12-08 15:36:00,"aplikasi lemot, aplikasi sering log out tapi ga bisa login lagi. kirim kode otp via sms ga ada sms masuk samsek, kirim kode otp via email tapi email tidak terdaftar padahal sudah pernah login pake email. di suruh pake aplikasi tapi aplikasinya busuk banget. ketika dibutuhkan malah aplikasi eror, kalau urgent gimana dong"
Azhar Mustaqim,5,2025-12-08 15:30:37,mudah penggunaan nya
Siti Komariah,5,2025-12-08 15:28:16,ok
dao lang,1,2025-12-08 15:21:25,sangat bobrok aplikasi jkn indonesia. bermasalah terus menerus. pelayanan sangat kecewa sekali. korupsi besar besaran aplikasinya saja bobrok apalagi pelayanan masyahrakat tidak di perbaiki. untuk apa ada aplikasi jkn kalo gak bisa di gunakan aplikasinya. bagai mana dengan pekerja yg sedang sakit yg membutuhkan bukti riwayat berobat untuk di berikan bukti ke perusahaan. jika tidak di lampirkan maka kami di potong gaji 1 hk. aplikasi bukan membantu malah menyusahkan saja.
Rofa,1,2025-12-08 15:09:09,"saya mau bayar tunggakan, tapi ribet poll, udh pernah daftar hrs dftr lagi, trs mau masuk hrs langsung dihubungin ke autodebit, padahal kan saya mau benerin data dulu, byk yg blm disesuaikan. Mau chatt cs lewat mana ya?, jgn yg wa biasa krn itu bot/template semua, maunya sama org langsung yg solutif. proses autodebit juga ga selesai2, capek ngulangnya, mau pake nonbank jg katanya email tdk sesuai format, aneh!. suruh bikin pengaduan by jkn, orang LOGIN AJA BELUM! gimana caranya?, KOCAK"
Firman Simanjuntak,5,2025-12-08 15:07:27,mantap sangat membantu
Firma Setiadi,5,2025-12-08 15:06:13,bagus mudah di pergunakan
Feri97 Feri,1,2025-12-08 15:03:18,saya lupa pasport dan email susah banget masuk nya mohon di permudah cari cara lain agar bisa masuk
Zukruf Nanda kresna,5,2025-12-08 15:01:27,bagus
Rena Azizah,5,2025-12-08 14:57:26,cepat
Idris Nuril,5,2025-12-08 14:43:44,aplikasi yang wajib di instal karena sangat membantu
Heri setiawan,5,2025-12-08 14:33:49,sangat baik
kaleng rengginng,1,2025-12-08 14:07:53,"karena saya baru pindah faskes, ketika ingin melakukan pengambilan antrian selalu muncul pertanyaan , apakah ingin mendaftarkan rekam medis , sudah saya pilih option setuju, tetap saja selalu muncul pertanyaan itu, sehingga saya tidak bisa melakukan pengambilan antrian, kepada tim developer mohon untuk di atasi, agar aplikasi berfungsi seperti seharusnya"
AGUS TRIAN HIDAYAT,3,2025-12-08 13:57:43,"mau mengaktifkan kembali kartu BPJS kesehatan,"
nie ane ixan,5,2025-12-08 13:56:55,sangat membantu
hisyam khairan,5,2025-12-08 13:42:44,"lebih baik, semoga lancar selalu"
Sofa Juhaeti29,5,2025-12-08 13:29:25,pelayanan mudah dan cepat
desstta this destt,1,2025-12-08 13:21:02,aplikasilu ribet sat. nomer tlpn udah bener dibilang salah. mana bikin skck suru bikin bpjs beban lu
djoko suesanto,5,2025-12-08 13:06:03,baru download semoga bermanfaat
Wong234 Kopet,5,2025-12-08 13:05:21,apik tenan
Nafhis Qurt,5,2025-12-08 13:04:38,aplikasi lebih mudah dan cepat untuk proses administrasi kesehatan
Otty Miryana,5,2025-12-08 13:02:34,mudah dan bisa ganti faskes
Siti Arifah,4,2025-12-08 12:31:03,Alhamdulillah sekarang aoknya lebih baik dan gk ngekek kyk dulu
Khoiril Anam,5,2025-12-08 12:19:47,bermafaat untk kesehatan diri
yadimulyadi yadi,5,2025-12-08 12:13:46,kemudahan berobat
Vivi Sftri,5,2025-12-08 12:07:03,bagus cepat sigap
Poejy Asty,4,2025-12-08 11:57:15,2021 ⭐ sekarang sudah bagus sekali aplikasinya trimkasih utk upgrade nya
Fernando Stroom,4,2025-12-08 11:57:12,Tingkat lagi fasilitas untuk masyarakat
Jeka Hendra Aditia,5,2025-12-08 11:53:18,mudah cepat
Riki Rahman,5,2025-12-08 11:43:29,layanan terbaik 👍
Amin Rais,1,2025-12-08 11:12:57,"booking H-1 selalu error ga jelas, udah mah sulit, aplikasi nya pun masih sampah"
agung towafa,5,2025-12-08 11:06:55,bagus
Basori Alwi,5,2025-12-08 11:05:25,sangat membantu
Iccang Iccang,5,2025-12-08 10:51:26,sangat membantu
